location,date,price
Brupbacherplatz,2020-04-08 09:26:49+00:00,700
Brupbacherplatz,2020-04-08 10:25:16+00:00,1800
Brupbacherplatz,2020-04-08 11:30:42+00:00,1800
Brupbacherplatz,2020-04-08 13:11:29+00:00,1400
Brupbacherplatz,2020-04-08 13:24:47+00:00,1400
Brupbacherplatz,2020-04-08 14:34:27+00:00,1800
Brupbacherplatz,2020-04-10 09:56:48+00:00,5400
Brupbacherplatz,2020-04-10 10:59:18+00:00,1800
Brupbacherplatz,2020-04-10 11:49:03+00:00,4000
Brupbacherplatz,2020-04-11 11:04:31+00:00,1800
Brupbacherplatz,2020-04-11 11:29:55+00:00,1800
Brupbacherplatz,2020-04-11 12:26:52+00:00,3600
Brupbacherplatz,2020-04-11 12:26:52+00:00,400
Brupbacherplatz,2020-04-11 12:51:50+00:00,2800
Brupbacherplatz,2020-04-11 16:39:38+00:00,1800
Brupbacherplatz,2020-04-12 08:50:17+00:00,1400
Brupbacherplatz,2020-04-12 09:32:12+00:00,5600
Brupbacherplatz,2020-04-12 11:59:13+00:00,1800
Brupbacherplatz,2020-04-13 09:22:50+00:00,1800
Brupbacherplatz,2020-04-16 10:21:24+00:00,1800
Brupbacherplatz,2020-04-16 10:52:08+00:00,1800
Brupbacherplatz,2020-04-16 11:00:43+00:00,1800
Brupbacherplatz,2020-04-16 12:22:28+00:00,1400
Brupbacherplatz,2020-04-17 10:01:55+00:00,700
Brupbacherplatz,2020-04-17 10:03:16+00:00,350
Brupbacherplatz,2020-04-17 10:04:11+00:00,700
Brupbacherplatz,2020-04-17 10:06:54+00:00,350
Brupbacherplatz,2020-04-17 10:08:26+00:00,700
Brupbacherplatz,2020-04-17 10:08:26+00:00,2000
Brupbacherplatz,2020-04-17 10:09:37+00:00,1400
Brupbacherplatz,2020-04-17 10:11:31+00:00,350
Brupbacherplatz,2020-04-17 10:14:46+00:00,1400
Brupbacherplatz,2020-04-17 10:22:26+00:00,700
Brupbacherplatz,2020-04-17 10:26:35+00:00,350
Brupbacherplatz,2020-04-17 10:34:01+00:00,1800
Brupbacherplatz,2020-04-17 10:37:18+00:00,350
Brupbacherplatz,2020-04-17 10:39:02+00:00,700
Brupbacherplatz,2020-04-17 10:39:41+00:00,350
Brupbacherplatz,2020-04-17 10:40:12+00:00,350
Brupbacherplatz,2020-04-17 10:41:10+00:00,350
Brupbacherplatz,2020-04-17 10:42:49+00:00,350
Brupbacherplatz,2020-04-17 10:44:56+00:00,350
Brupbacherplatz,2020-04-17 10:49:56+00:00,700
Brupbacherplatz,2020-04-17 10:50:34+00:00,350
Brupbacherplatz,2020-04-17 10:51:14+00:00,350
Brupbacherplatz,2020-04-17 10:52:36+00:00,700
Brupbacherplatz,2020-04-17 10:54:12+00:00,350
Brupbacherplatz,2020-04-17 10:55:14+00:00,350
Brupbacherplatz,2020-04-17 10:56:04+00:00,350
Brupbacherplatz,2020-04-17 10:57:39+00:00,350
Brupbacherplatz,2020-04-17 11:02:27+00:00,700
Brupbacherplatz,2020-04-17 11:05:34+00:00,700
Brupbacherplatz,2020-04-17 11:06:28+00:00,700
Brupbacherplatz,2020-04-17 11:07:42+00:00,1050
Brupbacherplatz,2020-04-17 11:09:10+00:00,700
Brupbacherplatz,2020-04-17 11:10:21+00:00,700
